3.507827348564012516e-05 6.044549699662483901e-05 8.975434929311767204e-05 1.631698847667143447e+06 5.052022022318836875e+14
3.964324449640859241e-05 6.759565389764836873e-05 9.828225974529473615e-05 1.609221014385669492e+06 4.913954287911888125e+14
1.467258038590338646e-04 1.432040756660951714e-05 1.334107489961770148e-07 1.531420378498212900e+06 4.450144051046590625e+14
4.385930234448910008e-05 7.319904264488327251e-05 1.019702110316686900e-04 1.563129364581426373e+06 4.636283825873956875e+14
4.617058924697915219e-05 7.622107660250333988e-05 1.038936193854093519e-04 1.538325426390783163e+06 4.490390053976798750e+14
4.884582646803413018e-05 7.963598369309320114e-05 1.058722564872603504e-04 1.513470169633303536e+06 4.346636482536467500e+14
5.359524495819486628e-05 8.623182621255217207e-05 1.116597309912828814e-04 1.487157702927612001e+06 4.196923746140401875e+14
5.549100616792766066e-05 8.812085840355115185e-05 1.111626928266985765e-04 1.459712148755797883e+06 4.043546950483323125e+14
5.853372212626431324e-05 9.159877058080038092e-05 1.122133575774100826e-04 1.430627714293724392e+06 3.884323616040210000e+14
6.378194374471543734e-05 9.821202498263083313e-05 1.165055567824646940e-04 1.402081762584575918e+06 3.730149314634298750e+14
6.691909454340623997e-05 1.012935526193954963e-04 1.161240033852350327e-04 1.371209515402864199e+06 3.568438702289247500e+14
7.117016861683438729e-05 1.057133057773561086e-04 1.167274792777585758e-04 1.338623498356238008e+06 3.400082824628345625e+14
7.359777871066548282e-05 1.072149736209658121e-04 1.138651760035954682e-04 1.305250998423472280e+06 3.232329958338677500e+14
8.002720663262202164e-05 1.141147981722317984e-04 1.161485368803854450e-04 1.269846648267927347e+06 3.059606982623580000e+14
8.851821904555191498e-05 1.227793551368740893e-04 1.182983008135189760e-04 1.231179870192538481e+06 2.876434476634872500e+14
9.525284777666252647e-05 1.287169953277089436e-04 1.177290328584400871e-04 1.191960664964077994e+06 2.696489085121763750e+14
9.884719124643223513e-05 1.294207287938014758e-04 1.111634861857113389e-04 1.149951692513027694e+06 2.509135963332211562e+14
1.113446010724641368e-04 1.404261412816967640e-04 1.120092480416008944e-04 1.104669077496696729e+06 2.316039212302385938e+14
1.238620156437088499e-04 1.497758809359307785e-04 1.099252152737693666e-04 1.057604662229491631e+06 2.123107008054726875e+14
1.462489355201332841e-04 1.677039609081739432e-04 1.109471601031512296e-04 1.007705366986489855e+06 1.927155514463837500e+14
1.580123615533605378e-04 1.705437228921198318e-04 1.001196156091416472e-04 9.533160512973075965e+05 1.724767439703596875e+14
2.011675895045001263e-04 1.973075558044751166e-04 9.640040381235810284e-05 8.922276301381476223e+05 1.509875794847233438e+14
2.457491443215522350e-04 2.152416367736828767e-04 8.546438703369531515e-05 8.286720473723518662e+05 1.302763343099069688e+14
3.586768858403814012e-04 2.541644543042431248e-04 7.083381091869116891e-05 7.574866986326846527e+05 1.089607343394815938e+14
5.520273152593301079e-04 2.733719390593285161e-04 4.478497363085190940e-05 6.819561830932565499e+05 8.825573702196564062e+13
5.175013366856520865e-04 1.756458137122732515e-04 1.599256864812474146e-05 6.220903855271353386e+05 7.347638951363457812e+13
3.684813131362968245e-04 9.277349093889171341e-05 5.087469013105703075e-06 5.835413317514515948e+05 6.455235732096016406e+13
3.324100855200844465e-04 7.239411656322003918e-05 3.078275831071596225e-06 5.567025785401819739e+05 5.879219790739000000e+13
2.635638416032924517e-04 4.620443317099927355e-05 1.294592811220926872e-06 5.331378827742264839e+05 5.394120676979678125e+13
2.351911272433194425e-04 3.566858999488112101e-05 7.523633942764703612e-07 5.136388299307821435e+05 5.007783446296500781e+13
2.178459226983665636e-04 3.073106971238615367e-05 5.568981937251143337e-07 4.957333359840611229e+05 4.663579463833568750e+13
1.841510490672925934e-04 2.244104784591048564e-05 3.057465951966709700e-07 4.792566171638297383e+05 4.357186070808550781e+13
